Chain,Type,Token Symbol,Value
arbitrum,CCTP Unclaimed Fees,USDC,0.0
arbitrum,Claimed Fees,ARB,1421623.5599999998
arbitrum,Claimed Fees,DAI,4459.68313786
arbitrum,Claimed Fees,ETH,0.0
arbitrum,Claimed Fees,FRAX,0.0
arbitrum,Claimed Fees,GMX,17521.494635317682
arbitrum,Claimed Fees,GOHM,18482.48832588804
arbitrum,Claimed Fees,NETH,92377.30850664712
arbitrum,Claimed Fees,NUSD,88390.54784157296
arbitrum,Claimed Fees,SYN,0.0
arbitrum,Claimed Fees,UNIDX,0.0
arbitrum,Claimed Fees,USDC,0.0
arbitrum,Claimed Fees,USDC.e,0.0
arbitrum,Claimed Fees,USDT,10945.64471
arbitrum,Claimed Fees,WETH,0.0
arbitrum,Unclaimed Fees,ARB,0.0
arbitrum,Unclaimed Fees,DAI,0.0
arbitrum,Unclaimed Fees,ETH,0.0
arbitrum,Unclaimed Fees,FRAX,0.0
arbitrum,Unclaimed Fees,GMX,117833.9477561008
arbitrum,Unclaimed Fees,GOHM,59876.887915922256
arbitrum,Unclaimed Fees,NETH,324570.4035984584
arbitrum,Unclaimed Fees,NUSD,410591.3352685532
arbitrum,Unclaimed Fees,SYN,7517.759864006844
arbitrum,Unclaimed Fees,UNIDX,696.8563820989766
arbitrum,Unclaimed Fees,USDC,0.0
arbitrum,Unclaimed Fees,USDC.e,0.0
arbitrum,Unclaimed Fees,USDT,0.0
arbitrum,Unclaimed Fees,WETH,0.0
aurora,Claimed Fees,NUSD,0.0
aurora,Claimed Fees,USDC.e,0.0
aurora,Claimed Fees,USDT.e,0.0
aurora,Unclaimed Fees,NUSD,126005.53708115012
aurora,Unclaimed Fees,USDC.e,0.0
aurora,Unclaimed Fees,USDT.e,0.0
avax,CCTP Unclaimed Fees,USDC,0.0
avax,Claimed Fees,AVAX,46.18580962
avax,Claimed Fees,AVWETH,0.0
avax,Claimed Fees,BTCB,0.0
avax,Claimed Fees,DAI.e,0.0
avax,Claimed Fees,GMX,205.9999807762709
avax,Claimed Fees,GOHM,15895.84068422168
avax,Claimed Fees,JEWEL,0.0
avax,Claimed Fees,NETH,45649.635888354496
avax,Claimed Fees,NUSD,0.6193701445510942
avax,Claimed Fees,SYN,24418.644975422794
avax,Claimed Fees,USDC,0.0
avax,Claimed Fees,USDC.e,0.0
avax,Claimed Fees,USDT,0.0
avax,Claimed Fees,USDT.e,0.0
avax,Claimed Fees,WETH.e,0.0
avax,Swap Unclaimed Fees,DAIe,35754.97233874098
avax,Swap Unclaimed Fees,USDC,23.627497544631
avax,Swap Unclaimed Fees,USDCe,135127.314319998
avax,Swap Unclaimed Fees,USDLP,0.0
avax,Swap Unclaimed Fees,USDTe,59909.28280336999
avax,Swap Unclaimed Fees,USDt,16.48598906118
avax,Swap Unclaimed Fees,avWETH,42715.57757713234
avax,Swap Unclaimed Fees,nETH,21830.998313246208
avax,Swap Unclaimed Fees,nUSD,106969.21545504533
avax,Unclaimed Fees,AVAX,21252.219894149435
avax,Unclaimed Fees,AVWETH,0.0
avax,Unclaimed Fees,BTCB,1.5378702417e-07
avax,Unclaimed Fees,DAI.e,0.0
avax,Unclaimed Fees,GMX,0.0
avax,Unclaimed Fees,GOHM,14575.720108186422
avax,Unclaimed Fees,JEWEL,3607.9668470361344
avax,Unclaimed Fees,NETH,55756.18737100034
avax,Unclaimed Fees,NUSD,66251.38086200535
avax,Unclaimed Fees,SYN,13209.89791266147
avax,Unclaimed Fees,USDC,0.0
avax,Unclaimed Fees,USDC.e,0.0
avax,Unclaimed Fees,USDT,0.0
avax,Unclaimed Fees,USDT.e,0.0
avax,Unclaimed Fees,WETH.e,0.0
boba,Claimed Fees,DAI,0.0
boba,Claimed Fees,ETH,0.0
boba,Claimed Fees,NETH,33193.88583605003
boba,Claimed Fees,NUSD,0.0
boba,Claimed Fees,USDC,0.0
boba,Claimed Fees,USDT,0.0
boba,Claimed Fees,WETH,0.0
boba,Swap Unclaimed Fees,DAI,5291.558045625051
boba,Swap Unclaimed Fees,USDC,15195.845456020945
boba,Swap Unclaimed Fees,USDT,5942.79298024276
boba,Swap Unclaimed Fees,WETH,6764.215127885581
boba,Swap Unclaimed Fees,nETH,6992.688888343268
boba,Swap Unclaimed Fees,nUSD,17126.8158588979
boba,Unclaimed Fees,DAI,0.0
boba,Unclaimed Fees,ETH,0.0
boba,Unclaimed Fees,NETH,15834.944650915606
boba,Unclaimed Fees,NUSD,122365.69193955968
boba,Unclaimed Fees,USDC,0.0
boba,Unclaimed Fees,USDT,0.0
boba,Unclaimed Fees,WETH,0.0
bsc,Claimed Fees,BSC-USD,63971.215161090826
bsc,Claimed Fees,BUSD,0.0
bsc,Claimed Fees,HIGH,4228.949313135058
bsc,Claimed Fees,NUSD,0.0
bsc,Claimed Fees,SYN,272.60268981043805
bsc,Claimed Fees,USDC,71228.34979576066
bsc,Claimed Fees,USDT,63971.215161090826
bsc,Unclaimed Fees,BSC-USD,0.0
bsc,Unclaimed Fees,BUSD,0.0
bsc,Unclaimed Fees,HIGH,2501.807186201081
bsc,Unclaimed Fees,NUSD,76338.01849618823
bsc,Unclaimed Fees,SYN,3716.300972933547
bsc,Unclaimed Fees,USDC,0.0
bsc,Unclaimed Fees,USDT,0.0
canto,Claimed Fees,ETH,0.0
