Chain,Type,Token Symbol,Value
arbitrum,CCTP Unclaimed Fees,USDC,0.0
arbitrum,Claimed Fees,ARB,1194987.92
arbitrum,Claimed Fees,DAI,4459.0183386
arbitrum,Claimed Fees,ETH,0.0
arbitrum,Claimed Fees,FRAX,0.0
arbitrum,Claimed Fees,GMX,13447.065244986195
arbitrum,Claimed Fees,GOHM,18991.051112661626
arbitrum,Claimed Fees,NETH,94080.72815092251
arbitrum,Claimed Fees,NUSD,0.0
arbitrum,Claimed Fees,SYN,0.0
arbitrum,Claimed Fees,UNIDX,0.0
arbitrum,Claimed Fees,USDC,0.0
arbitrum,Claimed Fees,USDC.e,15726.47
arbitrum,Claimed Fees,USDT,10932.9604464
arbitrum,Claimed Fees,WETH,0.0
arbitrum,Swap Unclaimed Fees,nUSD,36696.67559633687
arbitrum,Unclaimed Fees,ARB,0.0
arbitrum,Unclaimed Fees,DAI,0.0
arbitrum,Unclaimed Fees,ETH,0.0
arbitrum,Unclaimed Fees,FRAX,0.0
arbitrum,Unclaimed Fees,GMX,91634.943234888
arbitrum,Unclaimed Fees,GOHM,64651.950639555645
arbitrum,Unclaimed Fees,NETH,357840.2040564806
arbitrum,Unclaimed Fees,NUSD,34335.85432824575
arbitrum,Unclaimed Fees,SYN,6701.095597674366
arbitrum,Unclaimed Fees,UNIDX,916.3305203642371
arbitrum,Unclaimed Fees,USDC,0.0
arbitrum,Unclaimed Fees,USDC.e,0.0
arbitrum,Unclaimed Fees,USDT,0.0
arbitrum,Unclaimed Fees,WETH,0.0
aurora,Claimed Fees,NUSD,0.0
aurora,Claimed Fees,USDC.e,0.0
aurora,Claimed Fees,USDT.e,0.0
aurora,Unclaimed Fees,NUSD,126358.49528865352
aurora,Unclaimed Fees,USDC.e,0.0
aurora,Unclaimed Fees,USDT.e,0.0
avax,CCTP Unclaimed Fees,USDC,0.0
avax,Claimed Fees,AVAX,34.81328987
avax,Claimed Fees,AVWETH,0.0
avax,Claimed Fees,BTCB,0.0
avax,Claimed Fees,DAI.e,0.0
avax,Claimed Fees,GMX,158.09696830205334
avax,Claimed Fees,GOHM,16333.229465101014
avax,Claimed Fees,JEWEL,0.0
avax,Claimed Fees,NETH,46491.40631643151
avax,Claimed Fees,NUSD,0.6196105534458312
avax,Claimed Fees,SYN,20647.05435805155
avax,Claimed Fees,USDC,0.0
avax,Claimed Fees,USDC.e,0.0
avax,Claimed Fees,USDT,0.0
avax,Claimed Fees,USDT.e,0.0
avax,Claimed Fees,WETH.e,0.0
avax,Swap Unclaimed Fees,DAIe,36715.829165491545
avax,Swap Unclaimed Fees,USDC,87.726584791546
avax,Swap Unclaimed Fees,USDCe,137218.79496825498
avax,Swap Unclaimed Fees,USDLP,0.0
avax,Swap Unclaimed Fees,USDTe,61507.47701798699
avax,Swap Unclaimed Fees,USDt,48.56696063624
avax,Swap Unclaimed Fees,avWETH,44191.43266781107
avax,Swap Unclaimed Fees,nETH,22090.879442965583
avax,Swap Unclaimed Fees,nUSD,107725.47480174756
avax,Unclaimed Fees,AVAX,16983.667020020443
avax,Unclaimed Fees,AVWETH,0.0
avax,Unclaimed Fees,BTCB,1.75875571368e-07
avax,Unclaimed Fees,DAI.e,0.0
avax,Unclaimed Fees,GMX,0.0
avax,Unclaimed Fees,GOHM,15034.075548577184
avax,Unclaimed Fees,JEWEL,3294.246516094659
avax,Unclaimed Fees,NETH,59432.41862081405
avax,Unclaimed Fees,NUSD,74183.46848301726
avax,Unclaimed Fees,SYN,11414.743375812255
avax,Unclaimed Fees,USDC,0.0
avax,Unclaimed Fees,USDC.e,0.0
avax,Unclaimed Fees,USDT,0.0
avax,Unclaimed Fees,USDT.e,0.0
avax,Unclaimed Fees,WETH.e,0.0
boba,Claimed Fees,DAI,0.0
boba,Claimed Fees,ETH,0.0
boba,Claimed Fees,NETH,33805.97465003506
boba,Claimed Fees,NUSD,0.0
boba,Claimed Fees,USDC,0.0
boba,Claimed Fees,USDT,0.0
boba,Claimed Fees,WETH,0.0
boba,Swap Unclaimed Fees,DAI,5291.81593444193
boba,Swap Unclaimed Fees,USDC,15203.709828777808
boba,Swap Unclaimed Fees,USDT,5943.08162261298
boba,Swap Unclaimed Fees,WETH,6766.884039786083
boba,Swap Unclaimed Fees,nETH,6991.469355409227
boba,Swap Unclaimed Fees,nUSD,17135.451266173215
boba,Unclaimed Fees,DAI,0.0
boba,Unclaimed Fees,ETH,0.0
boba,Unclaimed Fees,NETH,16492.392137718245
boba,Unclaimed Fees,NUSD,122641.18825660324
boba,Unclaimed Fees,USDC,0.0
boba,Unclaimed Fees,USDT,0.0
boba,Unclaimed Fees,WETH,0.0
bsc,Claimed Fees,BSC-USD,63897.08268398108
bsc,Claimed Fees,BUSD,0.0
bsc,Claimed Fees,HIGH,2600.803827578061
