Chain,Type,Token Symbol,Value
arbitrum,CCTP Unclaimed Fees,USDC,0.0
arbitrum,Claimed Fees,ARB,0.0
arbitrum,Claimed Fees,DAI,4466.20174
arbitrum,Claimed Fees,ETH,0.0
arbitrum,Claimed Fees,FRAX,0.0
arbitrum,Claimed Fees,GMX,10060.94019758785
arbitrum,Claimed Fees,GOHM,16478.718460582077
arbitrum,Claimed Fees,NETH,58242.49710825605
arbitrum,Claimed Fees,NUSD,88519.74599231698
arbitrum,Claimed Fees,SYN,0.0
arbitrum,Claimed Fees,UNIDX,0.0
arbitrum,Claimed Fees,USDC,0.0
arbitrum,Claimed Fees,USDC.e,0.0
arbitrum,Claimed Fees,USDT,10934.71
arbitrum,Claimed Fees,WETH,0.0
arbitrum,Unclaimed Fees,ARB,0.0
arbitrum,Unclaimed Fees,DAI,0.0
arbitrum,Unclaimed Fees,ETH,0.0
arbitrum,Unclaimed Fees,FRAX,0.0
arbitrum,Unclaimed Fees,GMX,62867.706289803566
arbitrum,Unclaimed Fees,GOHM,44895.06744802478
arbitrum,Unclaimed Fees,NETH,131584.25553646448
arbitrum,Unclaimed Fees,NUSD,238557.41745468104
arbitrum,Unclaimed Fees,SYN,3022.7581310383403
arbitrum,Unclaimed Fees,UNIDX,0.0
arbitrum,Unclaimed Fees,USDC,0.0
arbitrum,Unclaimed Fees,USDC.e,0.0
arbitrum,Unclaimed Fees,USDT,0.0
arbitrum,Unclaimed Fees,WETH,0.0
aurora,Claimed Fees,NUSD,0.0
aurora,Claimed Fees,USDC.e,0.0
aurora,Claimed Fees,USDT.e,0.0
aurora,Unclaimed Fees,NUSD,124426.21520482634
aurora,Unclaimed Fees,USDC.e,0.0
aurora,Unclaimed Fees,USDT.e,0.0
avax,CCTP Unclaimed Fees,USDC,0.0
avax,Claimed Fees,AVAX,29.21448359683069
avax,Claimed Fees,AVWETH,0.0
avax,Claimed Fees,BTCB,0.0
avax,Claimed Fees,DAI.e,0.0
avax,Claimed Fees,GMX,118.28634088764944
avax,Claimed Fees,GOHM,14172.500948514446
avax,Claimed Fees,JEWEL,0.0
avax,Claimed Fees,NETH,28781.40562007298
avax,Claimed Fees,NUSD,0.6199216154624597
avax,Claimed Fees,SYN,14689.564675871758
avax,Claimed Fees,USDC,0.0
avax,Claimed Fees,USDC.e,0.0
avax,Claimed Fees,USDT,0.0
avax,Claimed Fees,USDT.e,0.0
avax,Claimed Fees,WETH.e,0.0
avax,Swap Unclaimed Fees,DAIe,33899.46533387598
avax,Swap Unclaimed Fees,USDCe,127668.88459517244
avax,Swap Unclaimed Fees,USDLP,0.0
avax,Swap Unclaimed Fees,USDTe,56647.90522817189
avax,Swap Unclaimed Fees,avWETH,37951.60689193643
avax,Swap Unclaimed Fees,nETH,19900.158206886237
avax,Swap Unclaimed Fees,nUSD,102573.57776819036
avax,Unclaimed Fees,AVAX,10745.561288196945
avax,Unclaimed Fees,AVWETH,0.0
avax,Unclaimed Fees,BTCB,5.37705437946104e-08
avax,Unclaimed Fees,DAI.e,0.0
avax,Unclaimed Fees,GMX,0.0
avax,Unclaimed Fees,GOHM,12289.590847490012
avax,Unclaimed Fees,JEWEL,4390.794988169372
avax,Unclaimed Fees,NETH,26118.272178058567
avax,Unclaimed Fees,NUSD,20786.07769683861
avax,Unclaimed Fees,SYN,6727.5463837736
avax,Unclaimed Fees,USDC,0.0
avax,Unclaimed Fees,USDC.e,0.0
avax,Unclaimed Fees,USDT,0.0
avax,Unclaimed Fees,USDT.e,0.0
avax,Unclaimed Fees,WETH.e,0.0
boba,Claimed Fees,DAI,0.0
boba,Claimed Fees,ETH,0.0
