Chain,Type,Token Symbol,Value
arbitrum,CCTP Unclaimed Fees,USDC,0.0
arbitrum,Claimed Fees,ARB,1205289.54
arbitrum,Claimed Fees,DAI,4461.74
arbitrum,Claimed Fees,ETH,0.0
arbitrum,Claimed Fees,FRAX,0.0
arbitrum,Claimed Fees,GMX,13193.62028883406
arbitrum,Claimed Fees,GOHM,18819.0109051688
arbitrum,Claimed Fees,NETH,90280.26804197216
arbitrum,Claimed Fees,NUSD,0.0
arbitrum,Claimed Fees,SYN,0.0
arbitrum,Claimed Fees,UNIDX,0.0
arbitrum,Claimed Fees,USDC,0.0
arbitrum,Claimed Fees,USDC.e,15724.142482439998
arbitrum,Claimed Fees,USDT,10934.71
arbitrum,Claimed Fees,WETH,0.0
arbitrum,Unclaimed Fees,ARB,0.0
arbitrum,Unclaimed Fees,DAI,0.0
arbitrum,Unclaimed Fees,ETH,0.0
arbitrum,Unclaimed Fees,FRAX,0.0
arbitrum,Unclaimed Fees,GMX,90213.94014322344
arbitrum,Unclaimed Fees,GOHM,65934.1284191941
arbitrum,Unclaimed Fees,NETH,355278.66051849275
arbitrum,Unclaimed Fees,NUSD,43282.918256648
arbitrum,Unclaimed Fees,SYN,6047.380382976731
arbitrum,Unclaimed Fees,UNIDX,1056.702586260005
arbitrum,Unclaimed Fees,USDC,0.0
arbitrum,Unclaimed Fees,USDC.e,0.0
arbitrum,Unclaimed Fees,USDT,0.0
arbitrum,Unclaimed Fees,WETH,0.0
aurora,Claimed Fees,NUSD,0.0
aurora,Claimed Fees,USDC.e,0.0
aurora,Claimed Fees,USDT.e,0.0
aurora,Unclaimed Fees,NUSD,126705.77351332718
aurora,Unclaimed Fees,USDC.e,0.0
aurora,Unclaimed Fees,USDT.e,0.0
avax,CCTP Unclaimed Fees,USDC,0.0
avax,Claimed Fees,AVAX,34.30487134
avax,Claimed Fees,AVWETH,0.0
avax,Claimed Fees,BTCB,0.0
avax,Claimed Fees,DAI.e,0.0
avax,Claimed Fees,GMX,155.11721930336088
avax,Claimed Fees,GOHM,16185.266502464869
avax,Claimed Fees,JEWEL,0.0
avax,Claimed Fees,NETH,44613.35181380097
avax,Claimed Fees,NUSD,0.6192121438599655
avax,Claimed Fees,SYN,18027.15265529257
avax,Claimed Fees,USDC,0.0
avax,Claimed Fees,USDC.e,0.0
avax,Claimed Fees,USDT,0.0
avax,Claimed Fees,USDT.e,0.0
avax,Claimed Fees,WETH.e,0.0
avax,Swap Unclaimed Fees,DAIe,37122.3608980743
avax,Swap Unclaimed Fees,USDC,196.499646
avax,Swap Unclaimed Fees,USDCe,138026.00749137197
avax,Swap Unclaimed Fees,USDLP,0.0
avax,Swap Unclaimed Fees,USDTe,62317.099334152
avax,Swap Unclaimed Fees,USDt,73.61197
avax,Swap Unclaimed Fees,avWETH,44817.99402265314
avax,Swap Unclaimed Fees,nETH,22548.040742762834
avax,Swap Unclaimed Fees,nUSD,108199.48725839694
avax,Unclaimed Fees,AVAX,17302.509405390618
avax,Unclaimed Fees,AVWETH,0.0
avax,Unclaimed Fees,BTCB,1.74352507782e-07
avax,Unclaimed Fees,DAI.e,0.0
avax,Unclaimed Fees,GMX,0.0
avax,Unclaimed Fees,GOHM,15102.26084011492
avax,Unclaimed Fees,JEWEL,4121.459485726584
avax,Unclaimed Fees,NETH,59372.09132412423
avax,Unclaimed Fees,NUSD,76963.22672609915
avax,Unclaimed Fees,SYN,10144.22034108257
avax,Unclaimed Fees,USDC,0.0
avax,Unclaimed Fees,USDC.e,0.0
avax,Unclaimed Fees,USDT,0.0
avax,Unclaimed Fees,USDT.e,0.0
avax,Unclaimed Fees,WETH.e,0.0
boba,Claimed Fees,DAI,0.0
boba,Claimed Fees,ETH,0.0
boba,Claimed Fees,NETH,32440.35747607418
boba,Claimed Fees,NUSD,0.0
boba,Claimed Fees,USDC,0.0
boba,Claimed Fees,USDT,0.0
boba,Claimed Fees,WETH,0.0
boba,Swap Unclaimed Fees,DAI,5300.745044123295
boba,Swap Unclaimed Fees,USDC,15209.156476
boba,Swap Unclaimed Fees,USDT,5947.059242
boba,Swap Unclaimed Fees,WETH,6769.87543522143
boba,Swap Unclaimed Fees,nETH,6993.460597340702
boba,Swap Unclaimed Fees,nUSD,17141.568486263088
boba,Unclaimed Fees,DAI,0.0
boba,Unclaimed Fees,ETH,0.0
boba,Unclaimed Fees,NETH,16008.009824880368
boba,Unclaimed Fees,NUSD,122658.26824455426
boba,Unclaimed Fees,USDC,0.0
boba,Unclaimed Fees,USDT,0.0
boba,Unclaimed Fees,WETH,0.0
bsc,Claimed Fees,BSC-USD,63907.3078532376
bsc,Claimed Fees,BUSD,0.0
bsc,Claimed Fees,HIGH,2495.080094749684
bsc,Claimed Fees,NUSD,0.0
bsc,Claimed Fees,SYN,201.24991818351492
bsc,Claimed Fees,USDC,71210.17951649439
bsc,Claimed Fees,USDT,63907.3078532376
bsc,Unclaimed Fees,BSC-USD,0.0
bsc,Unclaimed Fees,BUSD,0.0
bsc,Unclaimed Fees,HIGH,1507.8163739295892
bsc,Unclaimed Fees,NUSD,128118.78835526491
bsc,Unclaimed Fees,SYN,3032.295840598963
bsc,Unclaimed Fees,USDC,0.0
bsc,Unclaimed Fees,USDT,0.0
canto,Claimed Fees,ETH,0.0
canto,Claimed Fees,NETH,0.0
canto,Claimed Fees,NOTE,0.0
